id,binsize,name,file_path,value_type,collection_id,intervals_id,file_path_feature_values,cluster_id_path,feature_distribution_path,thumbnail_path,normalization,cluster_number,dataset_id
20127,5000,7fa11a90b09e46e7b71ab8aec10fc52d_embedding.npy,/code/temp/7fa11a90b09e46e7b71ab8aec10fc52d_embedding.npy,2d-embedding,NULL,1562,NULL,/code/temp/744231737a8d48d4ba5b97f7d8120488_cluster_ids_large.npy,NULL,/code/temp/8453210f94ed4628ad8b9b0e3026e9ab_thumbnails_large.npy,Obs/Exp,large,477
19888,5000,c107e025a82f4c878e9147d7bba898b4_embedding.npy,/code/temp/c107e025a82f4c878e9147d7bba898b4_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/0b8036b78d524ae9b3189b253166be81_cluster_ids_small.npy,NULL,/code/temp/a0fd6278eee74507929f35e4bdd8318c_thumbnails_small.npy,ICCF,small,146
19889,5000,c107e025a82f4c878e9147d7bba898b4_embedding.npy,/code/temp/c107e025a82f4c878e9147d7bba898b4_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/076756bbc1844ea79bc0f552eddcd72e_cluster_ids_large.npy,NULL,/code/temp/fc27d32687104248aedbc6236da61db0_thumbnails_large.npy,ICCF,large,146
19894,5000,a98837808d9c4e168eeedc0fb606cbf9_embedding.npy,/code/temp/a98837808d9c4e168eeedc0fb606cbf9_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/2d98c6dd38e54f9494c65bd6ef31ac8b_cluster_ids_small.npy,NULL,/code/temp/6c891c1bfc0a419d8ca78d35e45def27_thumbnails_small.npy,Obs/Exp,small,146
19895,5000,a98837808d9c4e168eeedc0fb606cbf9_embedding.npy,/code/temp/a98837808d9c4e168eeedc0fb606cbf9_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/62584e005cbf47f48a6f216b8d2de871_cluster_ids_large.npy,NULL,/code/temp/af1174a61c514b319f9e49f743003779_thumbnails_large.npy,Obs/Exp,large,146
20016,10000,90830606a9b7443ab63a39ccab0f315c_embedding.npy,/code/temp/90830606a9b7443ab63a39ccab0f315c_embedding.npy,1d-embedding,81,1563,/code/temp/ae92e72156cf48bab7364b93d42faa7b_features.npy,/code/temp/bf5461874b0241f9aa32b4e37433e953_cluster_ids_small.npy,NULL,/code/temp/b482aa0d13c14835a9ae5a332655c36d_average_values_small.npy,NULL,small,NULL
20017,10000,90830606a9b7443ab63a39ccab0f315c_embedding.npy,/code/temp/90830606a9b7443ab63a39ccab0f315c_embedding.npy,1d-embedding,81,1563,/code/temp/ae92e72156cf48bab7364b93d42faa7b_features.npy,/code/temp/efc1fefdfdec46c586498a0d5c71c086_cluster_ids_large.npy,NULL,/code/temp/3e9ba286a8ef4168b6ffc939d0ebd2d0_average_values_large.npy,NULL,large,NULL
20018,5000,2ce7365b71ab4eb0af5bf9b0ddec7d6f_embedding.npy,/code/temp/2ce7365b71ab4eb0af5bf9b0ddec7d6f_embedding.npy,1d-embedding,81,1563,/code/temp/794cf9592d854ae8b68dbdec89982ab7_features.npy,/code/temp/98c4e5f1e10b4d0b96463e74d2247437_cluster_ids_small.npy,NULL,/code/temp/3f3f66e604e44a9785276dfde983bbc9_average_values_small.npy,NULL,small,NULL
20019,5000,2ce7365b71ab4eb0af5bf9b0ddec7d6f_embedding.npy,/code/temp/2ce7365b71ab4eb0af5bf9b0ddec7d6f_embedding.npy,1d-embedding,81,1563,/code/temp/794cf9592d854ae8b68dbdec89982ab7_features.npy,/code/temp/5413889349784ed2a07aae422b1c6653_cluster_ids_large.npy,NULL,/code/temp/8a5f46214bb043c48dae7736d085e0e7_average_values_large.npy,NULL,large,NULL
20024,2000,00d866ce8a4b4546b27f77a429158faa_embedding.npy,/code/temp/00d866ce8a4b4546b27f77a429158faa_embedding.npy,1d-embedding,81,1563,/code/temp/8f909968cd2c47f3bd828f8573d86387_features.npy,/code/temp/f8448569e972459e8d68fc289d65a6e7_cluster_ids_small.npy,NULL,/code/temp/28097fa83f324c1089785ce71256573e_average_values_small.npy,NULL,small,NULL
20025,2000,00d866ce8a4b4546b27f77a429158faa_embedding.npy,/code/temp/00d866ce8a4b4546b27f77a429158faa_embedding.npy,1d-embedding,81,1563,/code/temp/8f909968cd2c47f3bd828f8573d86387_features.npy,/code/temp/0f39e50f3320494bad118fadda022be6_cluster_ids_large.npy,NULL,/code/temp/91fa8886b3a44f7ab07571051c883778_average_values_large.npy,NULL,large,NULL
20136,5000,0d2f3e172d844718aa1517b00ddc7496_embedding.npy,/code/temp/0d2f3e172d844718aa1517b00ddc7496_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/3a66c8728e074f729595acfb65c9a834_cluster_ids_small.npy,NULL,/code/temp/215fcfbd059747b6aa8e157fb74fdae9_thumbnails_small.npy,ICCF,small,477
20137,5000,0d2f3e172d844718aa1517b00ddc7496_embedding.npy,/code/temp/0d2f3e172d844718aa1517b00ddc7496_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/81fd66c45c6244409c5cc368837ead99_cluster_ids_large.npy,NULL,/code/temp/ecf56c0237d541c0ba866ef4b2f45088_thumbnails_large.npy,ICCF,large,477
20140,5000,7d3165d188db49ff8ea61dc475cb5b51_embedding.npy,/code/temp/7d3165d188db49ff8ea61dc475cb5b51_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/53525e0bcf014444b4e3712ea1d6a2a4_cluster_ids_small.npy,NULL,/code/temp/b704b96a9da54ff5bee7968975c0b459_thumbnails_small.npy,Obs/Exp,small,477
20141,5000,7d3165d188db49ff8ea61dc475cb5b51_embedding.npy,/code/temp/7d3165d188db49ff8ea61dc475cb5b51_embedding.npy,2d-embedding,NULL,1563,NULL,/code/temp/80699953cdc14d4db24a134800316788_cluster_ids_large.npy,NULL,/code/temp/13ce00a46ef34a10a56ad70fd8363dfe_thumbnails_large.npy,Obs/Exp,large,477
19886,10000,7ef830775920490d8865886288b0ae98_embedding.npy,/code/temp/7ef830775920490d8865886288b0ae98_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/0bdaf844bf6c4271935e74195f394b6a_cluster_ids_small.npy,NULL,/code/temp/ddf2a14c62e44673967dd710865b060a_thumbnails_small.npy,ICCF,small,146
19887,10000,7ef830775920490d8865886288b0ae98_embedding.npy,/code/temp/7ef830775920490d8865886288b0ae98_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/8f39d1f3b3194d648e563fde1efbf300_cluster_ids_large.npy,NULL,/code/temp/0f3de11d3be448fe9960dcb5ba66acc4_thumbnails_large.npy,ICCF,large,146
19892,10000,21b8330e4b8d48eda2c2e15cde5f886e_embedding.npy,/code/temp/21b8330e4b8d48eda2c2e15cde5f886e_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/c4b97c583230440ab32f3b782c04e2d6_cluster_ids_small.npy,NULL,/code/temp/c153416db1de468d84d7618954b1f991_thumbnails_small.npy,Obs/Exp,small,146
19893,10000,21b8330e4b8d48eda2c2e15cde5f886e_embedding.npy,/code/temp/21b8330e4b8d48eda2c2e15cde5f886e_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/68ffbcdba7cb4d8e925355757695aeb0_cluster_ids_large.npy,NULL,/code/temp/7b1dbc06c1ff4deba73fc6a4ebcd0e65_thumbnails_large.npy,Obs/Exp,large,146
20038,10000,8c21434f0ce742e58cc9c4d59c445e1e_embedding.npy,/code/temp/8c21434f0ce742e58cc9c4d59c445e1e_embedding.npy,1d-embedding,81,1564,/code/temp/284dcc8f3f50446aa133929e97d4b5ff_features.npy,/code/temp/a095ef925c93461e8d5ffa4335126db3_cluster_ids_small.npy,NULL,/code/temp/ccbe819b61114538b871b9b2a187a8aa_average_values_small.npy,NULL,small,NULL
20039,10000,8c21434f0ce742e58cc9c4d59c445e1e_embedding.npy,/code/temp/8c21434f0ce742e58cc9c4d59c445e1e_embedding.npy,1d-embedding,81,1564,/code/temp/284dcc8f3f50446aa133929e97d4b5ff_features.npy,/code/temp/d1764e12b6c943308b0e40e9f17018a8_cluster_ids_large.npy,NULL,/code/temp/c54586a0719347a1bc910d72ac45e9aa_average_values_large.npy,NULL,large,NULL
20040,5000,5efa8261ea0e4b5baf4a7769537e6a8d_embedding.npy,/code/temp/5efa8261ea0e4b5baf4a7769537e6a8d_embedding.npy,1d-embedding,81,1564,/code/temp/0dba759f466a4a0eb159cc26e8df49a1_features.npy,/code/temp/56612322a7e94e85a5429d58842dcd8d_cluster_ids_small.npy,NULL,/code/temp/df8f1a9e516e43ecb7b59d45ad34c1f1_average_values_small.npy,NULL,small,NULL
20041,5000,5efa8261ea0e4b5baf4a7769537e6a8d_embedding.npy,/code/temp/5efa8261ea0e4b5baf4a7769537e6a8d_embedding.npy,1d-embedding,81,1564,/code/temp/0dba759f466a4a0eb159cc26e8df49a1_features.npy,/code/temp/ac43ed4352be4dfeb3f44e2f713c57ba_cluster_ids_large.npy,NULL,/code/temp/5f0365783d434fd2b02d3abd8de1de42_average_values_large.npy,NULL,large,NULL
20042,20000,3f360547dcf845bbb4f4e735a37d055e_embedding.npy,/code/temp/3f360547dcf845bbb4f4e735a37d055e_embedding.npy,1d-embedding,81,1564,/code/temp/cf0e9eca6b0a464a8b988974777ce52c_features.npy,/code/temp/4a4d77baca32437abbd9bf05b72fa5d3_cluster_ids_small.npy,NULL,/code/temp/4ad969b5fabb48d4a9561d6046fff680_average_values_small.npy,NULL,small,NULL
20043,20000,3f360547dcf845bbb4f4e735a37d055e_embedding.npy,/code/temp/3f360547dcf845bbb4f4e735a37d055e_embedding.npy,1d-embedding,81,1564,/code/temp/cf0e9eca6b0a464a8b988974777ce52c_features.npy,/code/temp/53848aef0d5e402796fac5f121e7b468_cluster_ids_large.npy,NULL,/code/temp/80692035d7274c60a9f1ca09d50b7482_average_values_large.npy,NULL,large,NULL
20146,10000,77bdbdefd1f8432f9e24835fdf48b306_embedding.npy,/code/temp/77bdbdefd1f8432f9e24835fdf48b306_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/64af9eaee9cf49fbaae5637e1c907049_cluster_ids_small.npy,NULL,/code/temp/d60b9ad6346c4163b5ebf128834024da_thumbnails_small.npy,ICCF,small,477
20147,10000,77bdbdefd1f8432f9e24835fdf48b306_embedding.npy,/code/temp/77bdbdefd1f8432f9e24835fdf48b306_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/1e57fb7331584bd0a69fb54f679f646f_cluster_ids_large.npy,NULL,/code/temp/47cf2d8d92524583b244620d8626b5d5_thumbnails_large.npy,ICCF,large,477
20152,10000,8fceca02acac43948b633b1899a33040_embedding.npy,/code/temp/8fceca02acac43948b633b1899a33040_embedding.npy,2d-embedding,NULL,1564,NULL,/code/temp/7e7f2a4eebb44a5d88dcc3d720593ccb_cluster_ids_small.npy,NULL,/code/temp/0e4127ff2fb6413b921ee2c051451634_thumbnails_small.npy,Obs/Exp,small,477
