id,binsize,name,file_path,value_type,dataset_id,intervals_id
75784,50000,619f5a0f6c7b4fb1ae71e6ebfa64b861_line.npy,/code/temp/619f5a0f6c7b4fb1ae71e6ebfa64b861_line.npy,line,163,1566
75785,100000,b320614be73e47afac2c2031fd8599d2_line.npy,/code/temp/b320614be73e47afac2c2031fd8599d2_line.npy,line,320,1566
75786,50000,92a2d55af135445786c4d43effabec53_line.npy,/code/temp/92a2d55af135445786c4d43effabec53_line.npy,line,165,1566
75788,100000,710097fd8dbf467fa2b8ea6acf014da0_line.npy,/code/temp/710097fd8dbf467fa2b8ea6acf014da0_line.npy,line,10,1566
75790,50000,de7ec29931b741eaa18ed66a1bd85ce8_line.npy,/code/temp/de7ec29931b741eaa18ed66a1bd85ce8_line.npy,line,460,1566
75791,100000,5685eec8eb1242adb5f597d31e3ed45c_line.npy,/code/temp/5685eec8eb1242adb5f597d31e3ed45c_line.npy,line,11,1566
75793,50000,b9d8b62176ce4b90af09cb4f5027a8eb_line.npy,/code/temp/b9d8b62176ce4b90af09cb4f5027a8eb_line.npy,line,461,1566
75794,200000,28272a8f0a8047f39e3d6d7669926341_line.npy,/code/temp/28272a8f0a8047f39e3d6d7669926341_line.npy,line,319,1566
75795,100000,93f2e8ff882641ed9d8cb7d6a312c196_line.npy,/code/temp/93f2e8ff882641ed9d8cb7d6a312c196_line.npy,line,18,1566
75796,200000,3136c9542be74644b225ccdbd72e1c37_line.npy,/code/temp/3136c9542be74644b225ccdbd72e1c37_line.npy,line,320,1566
75797,50000,c961d0d4b191408298e81a7936f2119c_line.npy,/code/temp/c961d0d4b191408298e81a7936f2119c_line.npy,line,462,1566
75798,100000,27667ee149b8456cb9cbc1d5ef714f5b_line.npy,/code/temp/27667ee149b8456cb9cbc1d5ef714f5b_line.npy,line,163,1566
75799,200000,ef16eaee8a224e328ceea671371659c6_line.npy,/code/temp/ef16eaee8a224e328ceea671371659c6_line.npy,line,10,1566
75800,200000,6c517804334b421799df295c116555f7_line.npy,/code/temp/6c517804334b421799df295c116555f7_line.npy,line,11,1566
75801,50000,e6a1318ce822400284d4e911a8b852dc_line.npy,/code/temp/e6a1318ce822400284d4e911a8b852dc_line.npy,line,466,1566
75802,200000,85a2b83df8ea4f969228731562efcbc1_line.npy,/code/temp/85a2b83df8ea4f969228731562efcbc1_line.npy,line,18,1566
75803,100000,f12f6d025b094bc3b64735e997e1de88_line.npy,/code/temp/f12f6d025b094bc3b64735e997e1de88_line.npy,line,165,1566
75804,50000,f3913a6d3016457cab012d53b2019b4d_line.npy,/code/temp/f3913a6d3016457cab012d53b2019b4d_line.npy,line,467,1566
75805,200000,e728bc58c052457eb665b47f4bee3cf2_line.npy,/code/temp/e728bc58c052457eb665b47f4bee3cf2_line.npy,line,163,1566
75806,200000,a5cec978a3a3468db0345487938a355f_line.npy,/code/temp/a5cec978a3a3468db0345487938a355f_line.npy,line,165,1566
75807,100000,69378f7fc5f045819f933c72876d5f72_line.npy,/code/temp/69378f7fc5f045819f933c72876d5f72_line.npy,line,460,1566
75808,200000,c0c6c536a1c44e6a8af6813398c1c385_line.npy,/code/temp/c0c6c536a1c44e6a8af6813398c1c385_line.npy,line,460,1566
75809,100000,8c004cf92d1a4e38b54211dff08eca74_line.npy,/code/temp/8c004cf92d1a4e38b54211dff08eca74_line.npy,line,461,1566
75810,200000,b4723e61dd284907be5092bd953c43fe_line.npy,/code/temp/b4723e61dd284907be5092bd953c43fe_line.npy,line,461,1566
75811,200000,73dda0e07d1644e9b4be930c8dadaf9b_line.npy,/code/temp/73dda0e07d1644e9b4be930c8dadaf9b_line.npy,line,462,1566
75812,100000,ce41e66908624e8ea91db529b1babbb3_line.npy,/code/temp/ce41e66908624e8ea91db529b1babbb3_line.npy,line,462,1566
75813,200000,fbc0daae56ff462394e20c1c6530dbf9_line.npy,/code/temp/fbc0daae56ff462394e20c1c6530dbf9_line.npy,line,466,1566
75814,100000,0af76511bdee47d8911a8f4883b30482_line.npy,/code/temp/0af76511bdee47d8911a8f4883b30482_line.npy,line,466,1566
75815,200000,f244c2ca1cf04f3780d333e0e69b4743_line.npy,/code/temp/f244c2ca1cf04f3780d333e0e69b4743_line.npy,line,467,1566
75816,100000,8be0854a8f9840e496d02dd73d28387c_line.npy,/code/temp/8be0854a8f9840e496d02dd73d28387c_line.npy,line,467,1566
