id,binsize,name,file_path,file_path_small,dataset_id,intervals_id
27996,2000,88a31b6eeed2453aa9ea5b6edbdbfc38.npy,/code/temp/88a31b6eeed2453aa9ea5b6edbdbfc38.npy,/code/temp/88a31b6eeed2453aa9ea5b6edbdbfc38_small.npy,460,1562
28000,1000,3217438f22aa4f97a4bec6d439d74e66.npy,/code/temp/3217438f22aa4f97a4bec6d439d74e66.npy,/code/temp/3217438f22aa4f97a4bec6d439d74e66_small.npy,165,1562
28002,2000,f66b413e61764bc0bf041ff7b0570475.npy,/code/temp/f66b413e61764bc0bf041ff7b0570475.npy,/code/temp/f66b413e61764bc0bf041ff7b0570475_small.npy,461,1562
28006,2000,53cea5d5adc8413bbd902fe31692e0e9.npy,/code/temp/53cea5d5adc8413bbd902fe31692e0e9.npy,/code/temp/53cea5d5adc8413bbd902fe31692e0e9_small.npy,462,1562
28008,1000,ec955b4337204770b2b550f7c100b423.npy,/code/temp/ec955b4337204770b2b550f7c100b423.npy,/code/temp/ec955b4337204770b2b550f7c100b423_small.npy,460,1562
28012,2000,4309f7776ebd47b2944c5ec74694530d.npy,/code/temp/4309f7776ebd47b2944c5ec74694530d.npy,/code/temp/4309f7776ebd47b2944c5ec74694530d_small.npy,466,1562
28016,2000,4fe605e29e134863a4d6b4e7e40bbb18.npy,/code/temp/4fe605e29e134863a4d6b4e7e40bbb18.npy,/code/temp/4fe605e29e134863a4d6b4e7e40bbb18_small.npy,467,1562
28017,1000,bd6d64dfbe36497eb24e7080cd9fe009.npy,/code/temp/bd6d64dfbe36497eb24e7080cd9fe009.npy,/code/temp/bd6d64dfbe36497eb24e7080cd9fe009_small.npy,461,1562
28021,1000,f13911e1a1914fdb9fc471b3c50f2f1f.npy,/code/temp/f13911e1a1914fdb9fc471b3c50f2f1f.npy,/code/temp/f13911e1a1914fdb9fc471b3c50f2f1f_small.npy,462,1562
28023,1000,eebb69e9b8ba44ac83775b0018b1c836.npy,/code/temp/eebb69e9b8ba44ac83775b0018b1c836.npy,/code/temp/eebb69e9b8ba44ac83775b0018b1c836_small.npy,466,1562
28024,1000,e45b61bf1f544b898b262a54a5153368.npy,/code/temp/e45b61bf1f544b898b262a54a5153368.npy,/code/temp/e45b61bf1f544b898b262a54a5153368_small.npy,467,1562
31170,1000,5af4d18026b34e48b37c9c47dea4852a.npy,/code/temp/5af4d18026b34e48b37c9c47dea4852a.npy,/code/temp/5af4d18026b34e48b37c9c47dea4852a_small.npy,571,1562
